日期,时间,功率(KW)
2月28日,13:00,1822.4
2月28日,12:45,1659.2
2月28日,12:30,2121.6
2月28日,12:15,1945.6
2月28日,12:00,1504
2月28日,11:45,1694.4
2月28日,11:30,2259.2
2月28日,11:15,2308.8
2月28日,11:00,2249.6
2月28日,10:45,2448
2月28日,10:30,2307.2
2月28日,10:15,2233.6
2月28日,10:00,2427.2
2月28日,9:45,2233.6
2月28日,9:30,2035.2
2月28日,9:15,1577.6
2月28日,9:00,1139.2
2月28日,8:45,1380.8
2月28日,8:30,1435.2
2月28日,8:15,1076.8
2月28日,8:00,1305.6
2月28日,7:45,1406.4
2月28日,7:30,1608
2月28日,7:15,1560
2月28日,7:00,2254.4
2月28日,6:45,2334.4
2月28日,6:30,2516.8
2月28日,6:15,2240
2月28日,6:00,1777.6
2月28日,5:45,1988.8
2月28日,5:30,1358.4
2月28日,5:15,1662.4
2月28日,5:00,1744
2月28日,4:45,1537.6
2月28日,4:30,1819.2
2月28日,4:15,1761.6
2月28日,4:00,2222.4
2月28日,3:45,1932.8
2月28日,3:30,1792
2月28日,3:15,1776
2月28日,3:00,2283.2
2月28日,2:45,2172.8
2月28日,2:30,1806.4
2月28日,2:15,1729.6
2月28日,2:00,2211.2
2月28日,1:45,1929.6
2月28日,1:30,1803.2
2月28日,1:15,2052.8
2月28日,1:00,1876.8
2月28日,0:45,2088
2月28日,0:30,2308.8
2月28日,0:15,2126.4
2月28日,0:00,1956.8
2月27日,23:45,1982.4
2月27日,23:30,1532.8
2月27日,23:15,1720
2月27日,23:00,2374.4
2月27日,22:45,2169.6
2月27日,22:30,2302.4
2月27日,22:15,2182.4
2月27日,22:00,2638.4
2月27日,21:45,2636.8
2月27日,21:30,2470.4
2月27日,21:15,2179.2
2月27日,21:00,2140.8
2月27日,20:45,2382.4
2月27日,20:30,2368
2月27日,20:15,2468.8
2月27日,20:00,2385.6
2月27日,19:45,2240
2月27日,19:30,1897.6
2月27日,19:15,2033.6
2月27日,19:00,1838.4
2月27日,18:45,1726.4
2月27日,18:30,1968
2月27日,18:15,2334.4
2月27日,18:00,1904
2月27日,17:45,2288
2月27日,17:30,1812.8
2月27日,17:15,2027.2
2月27日,17:00,1897.6
2月27日,16:45,1713.6
2月27日,16:30,1720
2月27日,16:15,1723.2
2月27日,16:00,1811.2
2月27日,15:45,1785.6
2月27日,15:30,1792
2月27日,15:15,2116.8
2月27日,15:00,2001.6
2月27日,14:45,1843.2
2月27日,14:30,1740.8
2月27日,14:15,1536
2月27日,14:00,1547.2
2月27日,13:45,1580.8
2月27日,13:30,1283.2
